key,label,default_unit_type,description,sort_order
hotel,Hôtel,dedicated,,10
petit_dejeuner,Petit déjeuner,dedicated,,20
restaurant,Restaurant,dedicated,,30
livraison_uber_eats_deliveroo,Livraison (Uber Eats / Deliveroo),dedicated,,40
commerce,Commerce,dedicated,,50
coworking,Coworking,dedicated,,60
salles_de_reunion,Salles de réunion,dedicated,,70
salle_de_sport,Salle de sport,dedicated,,80
loisirs,Loisirs,dedicated,,90
spa_piscine,SPA - Piscine,dedicated,,100
maintenance,Maintenance,transversal,,110
communication,Communication,transversal,,120
rh,RH,transversal,,130
evenements_privatisations,Événements & privatisations,transversal,,140
